camera,datetime,total_spots,num_cars,weather,year,month,day,hour,minute,image_url,available_spots,occupancy_ratio
01,2015-11-12_07.09,35,4,S,2015,11,12,7,9,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_07.09_C01_184.jpg,31,0.11428571428571428
01,2015-11-12_07.39,35,5,S,2015,11,12,7,39,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_07.39_C01_184.jpg,30,0.14285714285714285
01,2015-11-12_08.09,35,6,S,2015,11,12,8,9,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_08.09_C01_184.jpg,29,0.17142857142857143
01,2015-11-12_08.39,35,8,S,2015,11,12,8,39,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_08.39_C01_184.jpg,27,0.22857142857142856
01,2015-11-12_09.09,35,21,S,2015,11,12,9,9,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_09.09_C01_184.jpg,14,0.6
01,2015-11-12_09.39,35,34,S,2015,11,12,9,39,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_09.39_C01_184.jpg,1,0.9714285714285714
01,2015-11-12_10.09,35,34,S,2015,11,12,10,9,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_10.09_C01_184.jpg,1,0.9714285714285714
01,2015-11-12_10.39,35,34,S,2015,11,12,10,39,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_10.39_C01_184.jpg,1,0.9714285714285714
01,2015-11-12_11.09,35,34,S,2015,11,12,11,9,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_11.09_C01_184.jpg,1,0.9714285714285714
01,2015-11-12_11.39,35,34,S,2015,11,12,11,39,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_11.39_C01_184.jpg,1,0.9714285714285714
01,2015-11-12_12.09,35,34,S,2015,11,12,12,9,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_12.09_C01_184.jpg,1,0.9714285714285714
01,2015-11-12_12.39,35,33,S,2015,11,12,12,39,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_12.39_C01_184.jpg,2,0.9428571428571428
01,2015-11-12_13.09,35,29,S,2015,11,12,13,9,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_13.09_C01_184.jpg,6,0.8285714285714286
01,2015-11-12_13.39,35,27,S,2015,11,12,13,39,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_13.39_C01_184.jpg,8,0.7714285714285715
01,2015-11-12_14.09,35,26,S,2015,11,12,14,9,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_14.09_C01_184.jpg,9,0.7428571428571429
01,2015-11-12_14.39,35,28,S,2015,11,12,14,39,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_14.39_C01_184.jpg,7,0.8
01,2015-11-12_15.09,35,31,S,2015,11,12,15,9,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_15.09_C01_184.jpg,4,0.8857142857142857
01,2015-11-12_15.39,35,32,S,2015,11,12,15,39,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_15.39_C01_184.jpg,3,0.9142857142857143
01,2015-11-12_16.09,35,29,S,2015,11,12,16,9,CNR-EXT/PATCHES/SUNNY/2015-11-12/camera1/S_2015-11-12_16.09_C01_184.jpg,6,0.8285714285714286
